table_size,position,effective_stack_bb,street,hand_key,board_texture_key,action_history_key,action,size_bb,probability,source,notes
9,BTN,100,flop,ANY,middle_high|unpaired|rainbow|disconnected|0,BTN_vs_BB_SRP_cbet,bet,33,75.0,Postflop_Heuristic_9max,texture=dry_low desc=干燥低张 (如 7♥2♣3♦)
9,BTN,100,flop,ANY,middle_high|unpaired|rainbow|disconnected|0,BTN_vs_BB_SRP_cbet,check,,25.0,Postflop_Heuristic_9max,texture=dry_low desc=干燥低张 (如 7♥2♣3♦)
9,BTN,100,flop,ANY,broadway_high|unpaired|rainbow|disconnected|1,BTN_vs_BB_SRP_cbet,bet,33,65.0,Postflop_Heuristic_9max,texture=dry_high desc=干燥高张 (如 K♥7♣2♦)
9,BTN,100,flop,ANY,broadway_high|unpaired|rainbow|disconnected|1,BTN_vs_BB_SRP_cbet,check,,35.0,Postflop_Heuristic_9max,texture=dry_high desc=干燥高张 (如 K♥7♣2♦)
9,BTN,100,flop,ANY,middle_high|unpaired|two_tone|connected|0,BTN_vs_BB_SRP_cbet,bet,50,50.0,Postflop_Heuristic_9max,texture=wet_connected desc=湿润连张 (如 J♥T♣8♦)
9,BTN,100,flop,ANY,middle_high|unpaired|two_tone|connected|0,BTN_vs_BB_SRP_cbet,check,,50.0,Postflop_Heuristic_9max,texture=wet_connected desc=湿润连张 (如 J♥T♣8♦)
9,BTN,100,flop,ANY,broadway_high|unpaired|rainbow|semi_connected|2,BTN_vs_BB_SRP_cbet,bet,33,70.0,Postflop_Heuristic_9max,texture=wet_two_broadway desc=两张高牌 (如 K♥Q♣5♦)
9,BTN,100,flop,ANY,broadway_high|unpaired|rainbow|semi_connected|2,BTN_vs_BB_SRP_cbet,check,,30.0,Postflop_Heuristic_9max,texture=wet_two_broadway desc=两张高牌 (如 K♥Q♣5♦)
9,BTN,100,flop,ANY,ace_high|unpaired|rainbow|disconnected|0,BTN_vs_BB_SRP_cbet,bet,33,80.0,Postflop_Heuristic_9max,texture=ace_high_dry desc=A高干燥 (如 A♥7♣2♦)
9,BTN,100,flop,ANY,ace_high|unpaired|rainbow|disconnected|0,BTN_vs_BB_SRP_cbet,check,,20.0,Postflop_Heuristic_9max,texture=ace_high_dry desc=A高干燥 (如 A♥7♣2♦)
9,BTN,100,flop,ANY,middle_high|paired|rainbow|disconnected|0,BTN_vs_BB_SRP_cbet,bet,33,55.0,Postflop_Heuristic_9max,texture=paired_low desc=低对子面 (如 8♥8♣2♦)
9,BTN,100,flop,ANY,middle_high|paired|rainbow|disconnected|0,BTN_vs_BB_SRP_cbet,check,,45.0,Postflop_Heuristic_9max,texture=paired_low desc=低对子面 (如 8♥8♣2♦)
9,BTN,100,flop,ANY,broadway_high|paired|rainbow|disconnected|1,BTN_vs_BB_SRP_cbet,bet,33,60.0,Postflop_Heuristic_9max,texture=paired_high desc=高对子面 (如 K♥K♣5♦)
9,BTN,100,flop,ANY,broadway_high|paired|rainbow|disconnected|1,BTN_vs_BB_SRP_cbet,check,,40.0,Postflop_Heuristic_9max,texture=paired_high desc=高对子面 (如 K♥K♣5♦)
